"Rule successfully saved","Правило успешно сохранено"
"Edit Group Rule","Редактировать правило для группы"
"Add Group Rule","Добавить правило для группы"
"Save Rule","Сохранить правило"
"Back","Вернуться"
"Rules","Правила"
"Add New Rule","Добавить новое правило"
"Apply Rules","Распределить клиентов по группам"
"ET Customer Group Auto Switcher","ET Customer Group Auto Switcher"
"Rule Information","Информация о правиле"
"General information","Основная информация"
"Email Template","Шаблоны писем"
"Active","Активно"
"Customer Group","Группа клиентов"
"Amount","Сумма для перехода"
"General","Основные параметры"
"Switch from any groups","Менять для всех групп"
"YES - rules works for all customers, NO - apply rules only for users from groups in active rules","Да - правила будут работать для всех клиентов, Нет - правила будут применяться только для клиентов, которые находятся в группах из активных правил."
"Switch users up","Изменять при увеличении суммы"
"Apply rules for customer reached new total orders amount","Применять правила для клиентов, у которых потраченная сумма увеличилась"
"Switch users down","Изменять при уменьшаении суммы"
"Apply rules for customer reached lower total orders amount, for example: after canceling orders","Применять правила для клиентов, у которых потраченная сумма уменьшилась. Например: заказ был отменён."
"Email Sender","Отправитель письма"
"Send switching from any groups","Отсылать при смене группы, не входящей в правила"
"Send mail, when switching user not from groups in active rules","Отсылать оповещение клиенту, при смене из группы, которая не входит в активные правила"
"Send switching users up","Отсылать при повышении группы"
"Send mail, when switching user to group with higher amount","Отсылать оповещение клиенту, при смене на группу с большим значением суммы"
"Send switching users down","Отсылать при понижении группы"
"Send mail, when switching user to group with lower amount","Отсылать оповещение клиенту, при смене на группу с меньшим значением суммы"
"Customer Group Auto Switcher information","Информация о модуле Customer Group Auto Switcher"
"Delete","Удалить"
"Rule was successfully deleted","Правило успешно удалено"
"New Group Rule","Новое правило для группы"
"Each user will be moved to group according to it total amount","Каждый клиент будет переведён в группу, соответствующую активным правилам, в зависимости от потраченной суммы (не дожидаясь изменения потраченной на заказы суммы)"
"Custromer will be moved to this group if total orders amount is bigger or equal (in base currency)","Пользователь будет переведён в эту группу, если потраченная сумма будет равна или больше указанного значения (в базовой валюте)"

"Extension:","Модуль:"
"<strong>%s</strong> (version %s)","<strong>%s</strong> (версия %s)"
"License:","Лицензия:"
"ETWS Free License (EFL1)","ETWS Свободная лицензия (EFL1)"
"ETWS Commercial License (ECL1)","ETWS Коммерческая лицензия (ECL1)"
"Short Description:","Краткое описание:"
"Documentation:","Документация:"
"Support:","Поддержка:"
"Advertisement:","Реклама:"
"You can see description of extension features and answers to the frequently asked questions on <a href=""%s"" target=""_balnk"">our website</a>.","Описание позможностей модуля и ответы на часто задаваемые вопросы смотрите на <a href=""%s"" target=""_balnk"">нашем сайте</a>."
"You can hire our team to customize the extension. E-mail us on sales@etwebsolutions.com.<br><br>You can see a list of provided services on <a href=""%s"" target=""_blank"">our website</a>.","Вы можете нанять нашу команду для любых работ по модификации модуля. Пишите на адрес sales@etwebsolutions.com.<br><br>Со списком предоставляемых нами услуг вы можете ознакомиться <a href=""%s"" target=""_blank"">на нашем сайте</a>."
"Extension support is available through <a href=""%s"" target=""_blank"">issue tracking system</a>.<br>You can see information freely, but you will have to sign up to open a ticket.<br><br>Please, report all bugs and feature requests that are related to this extension.<br><br>If by some reason you can not submit a question, bug report or feature request to our ticket system, you can write us an email - support@etwebsolutions.com.","Поддержка модуля осуществляется через <a href=""%s"" target=""_blank"">систему отслеживания заданий</a>.<br>Для создания задачи будет необходимо зарегистрироваться. Для просмотра информации регистрация не требуется.<br><br>Пожалуйста, сообщайте нам о найденных ошибках и о своих пожеланиях в рамках этого модуля.<br><br>Если по каким-либо причинам вы не можете размеситить вопрос/сообщение об ошибке/пожелание в списке задач, то можете написать нам по адресу support@etwebsolutions.com."
